Right Cerebrum.Frontal Lobe.Middle Frontal Gyrus.Gray Matter.Brodmann area 11,
Right Cerebrum.Frontal Lobe.Middle Frontal Gyrus.*.*,
Right Cerebrum.*.Orbital Gyrus.*.*,
Right Cerebrum.*.Superior Frontal Gyrus.*.*,
Left Cerebrum.Occipital Lobe.Fusiform Gyrus.*.*,
Left Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 18,
Right Cerebrum.Occipital Lobe.Fusiform Gyrus.*.*,
Right Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 18,
Left Cerebrum.Occipital Lobe.Fusiform Gyrus.White Matter.*,298
Right Cerebrum.Occipital Lobe.Fusiform Gyrus.White Matter.*,141
Left Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37,265
Right Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37,
Right Cerebrum.*.Fusiform Gyrus.*.*,
Left Cerebellum.Anterior Lobe.Cerebellar Lingual.Gray Matter.*,348
Right Cerebellum.Anterior Lobe.Cerebellar Lingual.Gray Matter.*,349
Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 37,
Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 37,
Left Brainstem.Midbrain.*.*.*,
Right Brainstem.Midbrain.*.*.*,
Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 20,
Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 20,
Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Amygdala,339
*.*.*.White Matter.*,
Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 38,
Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 38,
Left Cerebrum.Frontal Lobe.Medial Frontal Gyrus.*.*,
Right Cerebrum.Frontal Lobe.Medial Frontal Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Superior Temporal Gyrus.*.*,292
Left Cerebrum.Frontal Lobe.Medial Frontal Gyrus.Gray Matter.Brodmann area 25,280
Right Cerebrum.Frontal Lobe.Medial Frontal Gyrus.Gray Matter.Brodmann area 25,120
Right Cerebrum.Frontal Lobe.Superior Temporal Gyrus.*.*,129
Right Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Medial Frontal Gyrus.White Matter.*,
Right Cerebrum.Frontal Lobe.Medial Frontal Gyrus.White Matter.*,
Left Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Middle Frontal Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 25,
Left Cerebrum.Frontal Lobe.Medial Frontal Gyrus.Gray Matter.Brodmann area 11,
Right Cerebrum.Frontal Lobe.Medial Frontal Gyrus.Gray Matter.Brodmann area 11,
Right Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 25,122
Left Cerebrum.Occipital Lobe.Lingual Gyrus.*.*,308
*.*.Lingual Gyrus.*.*,15
*.Occipital Lobe.*.*.*,
*.Occipital Lobe.Lingual Gyrus.*.*,
Left Cerebrum.Occipital Lobe.Lingual Gyrus.Gray Matter.Brodmann area 17,
Inter-Hemispheric.Occipital Lobe.Lingual Gyrus.*.*,
Right Cerebrum.Occipital Lobe.Lingual Gyrus.*.*,15
